node,betweenness
295,5652.723000
296,2517.092521
297,4210.207592
298,4438.975227
299,1113.128107
300,4703.047852
301,6026.732966
302,1183.473061
303,793.214740
304,5654.576649
305,1144.113842
306,2883.125952
307,313.512828
308,703.799846
309,1024.555783
310,557.369521
311,565.243991
312,353.756736
313,389.328195
314,792.789009
315,1010.435768
316,1148.625398
317,779.741766
318,3594.078963
319,4399.021004
320,4959.734586
321,5634.871883
322,1230.528913
323,1073.185280
324,4364.787110
325,3415.993314
326,4569.728642
327,1010.630286
328,3106.290213
329,4354.918563
330,1120.184138
331,3723.443855
332,4052.193873
333,756.641020
334,780.403569
335,4880.004313
336,908.444852
337,816.314764
338,546.584471
339,3631.937665
340,3858.438961
341,4577.553551
342,919.870069
343,833.947816
344,4549.836201
345,8242.207517
346,367.898046
347,3319.464487
348,1098.556524
349,1178.811501
350,457.794685
351,3939.491535
352,2726.740134
353,388.442870
354,373.294183
355,6586.935077
356,1043.218332
357,561.223729
358,3977.165204
359,593.977361
360,6183.368269
361,4198.201170
362,2449.822511
363,2614.685704
364,542.879789
365,2144.476511
366,651.620577
367,497.414641
368,712.321749
369,1503.830680
370,2428.268604
371,3122.064885
372,323.474886
373,3154.263148
374,243.812850
375,583.922473
376,673.761877
377,6088.328168
378,2533.567881
379,3687.956389
380,629.395176
381,5268.902249
382,1364.668286
383,635.999108
384,7539.911293
385,1023.015851
386,2851.021453
387,3117.403419
388,907.714089
389,1142.250646
390,5731.887289
391,2829.212174
392,1152.006332
393,805.868057
394,998.560161
395,2274.622061
396,3413.868284
397,5508.663533
398,524.971106
399,552.316528
400,786.073504
401,894.714824
402,1179.922529
403,545.448203
404,3288.751947
405,3672.660272
406,423.505169
407,4764.282893
408,314.553334
409,881.771775
410,2613.960253
411,819.790161
412,877.334037
413,475.238841
414,3449.377313
415,2194.223438
416,2791.576118
417,1462.896991
418,642.686933
419,873.238761
420,638.640560
421,1061.352096
422,677.028381
423,8455.244167
424,4057.081712
425,1180.846118
426,6106.396187
427,1279.373837
428,1482.489087
429,2972.164425
430,8715.098738
431,3945.492186
432,2973.440886
433,703.699642
434,782.646565
435,938.906549
436,558.351439
437,861.306329
438,2323.844473
439,2708.632815
440,621.512446
441,551.345359
442,3363.928284
443,740.826347
444,313.142184
445,804.559682
446,672.035485
