node,betweenness
224,308.763355
225,554.912649
226,409.015798
227,568.628902
228,437.073705
229,426.597081
230,332.315640
231,409.798117
232,431.401696
233,424.823980
234,292.233558
235,596.782818
236,338.636517
237,506.575115
238,595.872596
239,367.969374
240,496.316329
241,283.912303
242,663.495382
243,435.685988
244,469.205117
245,509.233804
246,398.977748
247,491.756109
248,461.333100
249,420.942883
250,379.154509
251,321.396533
252,355.986956
253,496.764740
254,406.618184
255,435.731145
256,594.399696
257,538.232429
258,414.236158
259,545.836764
260,368.177007
261,332.722622
262,356.280622
263,381.138223
264,553.371687
265,361.441970
266,411.969107
267,468.232582
268,570.173566
269,516.484856
270,395.848330
271,563.726696
272,452.180658
273,334.963398
274,563.450244
275,598.450945
276,286.919870
277,408.328618
278,564.885744
279,512.281509
280,443.326494
281,372.039965
282,405.915512
283,482.646354
284,470.708037
285,438.479741
286,523.383792
287,511.233431
288,387.781202
289,441.843802
290,371.914513
291,535.824142
292,501.540964
293,362.210413
294,482.677376
295,381.731361
296,268.428397
297,392.758141
298,466.298145
299,350.153066
300,252.442765
301,443.429627
302,558.069429
303,460.372894
304,505.717159
305,570.089363
306,353.848581
307,391.347519
308,369.041897
309,402.582599
310,436.858605
311,412.866964
312,325.184598
313,456.309284
314,629.607567
315,492.920184
316,475.898415
317,551.446920
318,292.258256
319,496.114703
320,498.480776
321,454.808797
322,467.126753
323,370.799990
324,588.758727
325,406.606658
326,627.137334
327,605.690536
328,485.640965
329,569.113446
330,475.713770
331,485.361396
332,269.707090
333,428.050601
334,406.011818
335,592.581614
336,509.653052
337,487.489726
338,518.457918
339,423.022133
340,514.531901
341,546.920335
342,401.247357
343,735.941404
344,532.013742
345,463.799706
346,454.279311
347,664.665665
348,480.585026
349,351.694244
350,373.750113
351,544.807543
352,356.638155
353,356.988460
354,381.661274
355,263.046962
356,569.698310
357,375.509657
358,512.945093
359,415.583941
360,404.685624
361,404.454978
362,428.722290
363,421.934126
364,453.475564
365,518.250313
366,438.849161
367,461.739163
368,484.763946
369,651.835468
370,404.851225
371,283.374912
372,518.221341
373,385.896761
374,384.796465
375,422.799929
376,527.411316
377,420.203966
378,514.035099
379,459.671330
380,432.377852
381,421.658896
382,683.834897
383,326.248925
384,412.021446
385,559.632680
386,403.752881
387,523.460696
388,469.483512
389,499.358855
390,284.268452
391,418.522065
392,606.454657
393,377.054552
394,547.356343
395,494.277373
396,354.843814
397,486.190860
398,484.918429
399,440.791327
400,355.115257
401,450.509077
402,406.976666
403,359.427139
404,467.119509
405,552.950835
406,563.613602
407,414.307916
408,419.451800
409,230.770263
410,505.800402
411,390.065462
412,435.220764
413,454.321499
414,439.485020
415,474.728414
416,429.554788
417,466.909596
418,469.607318
419,494.308334
420,733.920298
421,495.254620
422,357.100336
423,471.867752
424,354.557113
425,383.837761
426,427.702906
427,551.590889
428,558.497277
429,497.492332
430,468.142317
431,454.187874
432,596.023178
433,541.555481
434,339.050881
435,363.760085
436,318.598239
437,326.182801
438,265.556565
439,431.144484
440,354.640698
441,323.671871
442,420.032427
443,497.199203
444,333.336719
445,459.622772
446,421.833509
447,518.708623
448,461.020229
449,445.626738
450,401.573048
451,325.257104
452,573.894619
453,548.305092
454,646.933657
455,548.764506
456,402.333235
457,534.100352
458,311.679288
459,423.602565
460,353.379248
461,373.358371
462,319.707658
463,457.415590
464,439.762070
465,439.708521
466,554.212601
467,460.613072
468,552.770986
469,424.800691
470,501.963066
471,416.770829
472,612.892464
473,395.415200
474,579.308816
475,473.088454
476,285.050062
477,559.605236
478,352.485031
479,535.947439
480,451.495319
481,442.999718
482,397.147319
483,296.871820
484,523.163996
485,467.160063
486,463.611777
487,482.273149
488,396.509597
489,491.713131
490,485.534222
491,342.806470
492,325.608724
493,482.060481
494,558.884776
495,298.055639
496,450.545050
497,496.655801
498,380.204032
499,472.469946
500,457.590722
501,310.159026
502,517.590646
503,430.667533
504,358.966663
505,266.486451
506,409.225139
507,396.589218
508,343.066550
509,454.196138
510,513.175387
511,465.461818
512,465.611058
513,396.634457
514,497.282026
515,583.391935
516,458.532097
517,467.456516
518,527.660800
519,566.801744
520,309.251740
521,502.683954
522,349.792422
523,429.249695
524,356.629035
525,469.906597
526,533.722563
527,498.555322
528,485.118173
529,482.557868
530,452.793701
531,347.043672
532,470.764752
533,535.947958
534,229.010292
535,402.276237
536,568.298708
537,414.618794
538,448.368283
539,459.029932
540,467.596919
541,391.508219
542,459.644906
543,519.811152
544,477.107707
545,512.989511
546,485.514532
547,388.342415
548,403.740322
549,404.268397
550,532.899746
551,447.828180
552,403.357081
553,430.073352
554,416.101084
555,483.422424
556,364.215128
557,617.114222
558,529.246482
559,401.273606
560,495.990390
561,399.196227
562,591.959353
563,378.956811
564,432.858094
565,412.544101
566,463.256350
567,386.788184
568,509.414589
569,459.127541
570,502.180374
571,473.390113
572,608.527579
573,403.444037
574,401.270651
575,543.010138
576,383.295559
577,450.910638
578,477.590517
579,448.180781
580,517.479058
581,433.153659
582,707.380372
583,426.323056
584,439.090101
585,324.667550
586,337.657925
587,423.850240
588,467.445669
589,363.410545
590,512.049523
591,442.090048
592,639.894919
593,473.980456
594,524.752665
595,338.902109
596,547.866248
597,388.606729
598,360.893403
599,517.417786
600,357.045908
601,381.262960
602,572.297705
603,344.395994
604,299.395292
605,450.437365
606,430.703338
607,443.975294
608,378.296723
609,453.358773
610,362.293661
611,476.345466
612,577.320904
613,349.948119
614,308.874752
615,575.129274
616,493.066962
617,500.697918
618,366.831465
619,544.366913
620,450.450749
621,352.709831
622,576.331180
623,458.136498
624,294.665203
625,396.473745
626,516.879291
627,365.153774
628,341.331372
629,303.677115
630,403.205333
631,431.935643
632,447.604069
633,473.944026
634,459.086983
635,415.439793
636,454.970057
637,413.074361
638,517.793604
639,332.806745
640,476.413209
641,428.945181
642,381.611297
643,543.607036
644,521.057854
645,374.076263
646,463.974135
647,500.304666
648,429.222931
649,495.245101
650,627.950839
651,385.106986
652,341.270043
653,311.924652
654,483.452758
655,360.002175
656,400.445032
657,514.683115
658,527.928334
659,393.104623
660,344.084954
661,562.973306
662,546.193557
