node,betweenness
280,579.173249
281,2626.516141
282,115.898061
283,120.983501
284,266.862019
285,311.977616
286,560.244814
287,143.065755
288,332.808022
289,1028.060306
290,175.269780
291,1188.567828
292,422.025281
293,90.713454
294,152.829923
295,458.896693
296,2378.670249
297,792.770658
298,82.785795
299,403.784390
300,1048.878747
301,1197.983918
302,834.081886
303,916.473486
304,2179.668148
305,1263.187082
306,298.205886
307,259.386903
308,37.832473
309,178.054466
310,2368.211678
311,504.221090
312,763.321644
313,419.913273
314,1438.677849
315,1172.237436
316,1479.291205
317,457.643383
318,2469.917275
319,847.123277
320,579.745995
321,207.297411
322,652.239041
323,1227.791116
324,2786.135848
325,844.633085
326,389.647177
327,223.471523
328,38.794456
329,618.519592
330,52.157522
331,559.546228
332,293.239602
333,805.546056
334,1041.825499
335,194.885971
336,183.008613
337,187.495684
338,389.967989
339,430.077922
340,992.056456
341,394.574238
342,1122.841497
343,277.033883
344,601.177131
345,735.180758
346,321.417901
347,197.159496
348,496.714939
349,1096.002924
350,212.369123
351,237.380496
352,490.729128
353,232.360607
354,213.371831
355,47.595603
356,644.244732
357,28.697061
358,1483.635783
359,648.631853
360,376.152416
361,93.421638
362,859.636438
363,71.471483
364,131.077901
365,849.189930
366,236.104733
367,1380.509226
368,221.114951
369,516.340598
370,378.838835
371,1669.773884
372,114.803988
373,1333.001180
374,169.855045
375,263.849118
376,135.164855
377,1466.454521
378,130.332769
379,182.827651
380,174.071600
381,205.550728
382,670.879158
383,974.805801
384,786.781473
385,316.090560
386,68.545280
387,818.986829
388,104.475893
389,441.102208
390,944.308702
391,142.521240
392,1125.214160
393,588.127123
394,791.601022
395,754.586825
396,86.856333
397,782.679994
398,1526.868775
399,139.179379
400,125.553512
401,110.942340
402,786.651566
403,885.006859
404,249.262034
405,266.895406
406,175.287929
407,1115.726335
408,316.543896
409,97.141523
410,1498.401266
411,497.774018
412,322.643406
413,228.438371
414,106.406642
415,256.305597
416,146.101209
417,120.764282
418,1256.798155
419,1052.806633
420,41.093920
421,380.349656
422,1396.405150
423,440.261427
424,1362.801295
425,238.439646
426,220.697319
427,150.496931
428,133.421559
429,226.271256
430,88.026014
431,857.562443
432,245.667973
433,203.466052
434,140.960028
435,238.482768
436,540.623757
437,651.750277
438,334.307279
439,273.475671
440,299.377479
441,2493.257038
442,135.900504
443,498.770182
444,491.233044
445,183.145148
446,695.023669
447,166.865475
448,149.844518
449,180.383793
450,994.278153
451,1004.385378
452,725.448110
453,905.397591
454,815.980505
455,317.030093
456,989.876720
457,522.563875
458,90.334072
459,96.072727
460,1257.483161
461,182.653777
462,81.122843
463,1318.863691
464,409.784197
465,556.043223
466,49.517101
467,664.271336
468,73.972886
469,62.444042
470,403.418636
471,354.014123
472,106.758693
473,119.719574
474,170.148322
475,607.091403
476,99.797450
477,223.852217
478,111.695548
479,245.356225
480,112.946729
481,32.122698
482,2457.284320
483,251.443395
484,365.423347
485,145.474164
486,885.211820
487,39.544516
488,466.716162
489,156.254154
490,255.361746
491,297.456375
492,181.302752
493,1126.260158
494,143.171416
495,386.481477
496,356.693868
497,241.844728
498,108.868982
499,154.311113
500,26.817183
501,157.047540
502,388.827743
503,49.071421
504,1534.202124
505,75.538884
506,249.541347
507,102.665975
508,243.215246
509,364.442610
510,745.226429
511,207.770642
512,825.829579
513,76.027767
514,72.807857
515,163.034038
516,977.011051
517,298.852504
518,56.254907
519,293.110558
520,294.556497
521,827.251751
522,390.193757
523,130.760014
524,486.981787
525,224.002309
526,128.447963
527,201.862739
528,43.690061
529,568.847225
530,667.089518
531,173.988247
532,491.689895
533,103.519231
534,917.195134
535,55.562951
536,119.910505
537,45.800024
538,284.967823
539,903.992414
540,732.615427
541,467.091285
542,150.072627
543,545.902238
544,1102.997497
545,147.628890
546,1194.407338
547,125.793926
548,316.194149
549,270.390211
550,91.795232
551,161.267628
552,52.827591
553,768.514632
554,44.675435
555,91.823326
556,419.506386
557,148.889685
558,287.088498
559,48.103050
560,593.943118
561,69.972011
562,92.145463
563,212.283438
564,185.031524
565,97.164212
566,132.429042
567,285.310556
568,243.141839
569,77.690594
570,467.189806
571,561.908053
572,165.765449
573,443.876096
574,531.754518
575,697.748506
576,206.644933
577,81.512249
578,57.873469
579,40.561566
580,66.364366
581,64.440505
582,379.705700
583,107.144708
584,158.438004
585,53.625181
586,756.520038
587,110.049636
